|0|1|2|3
5191|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: park arte; park Arte; Barkarte; Sparkarte; markante; Margaret; Margarete; bürgerte; Fahrkarte; paarte; parierte; parkartig; parkartige; parkende; parkte; Badkarte; Barkarten; Farbkarte; Kurkarte; Lärmkarte
parkarte
^^^^^^^^"|||
5192|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: steif; seif; stuf; sie; sein; seit; sei; stieg; Stil; tief; stieß; Stift; steil; Ethik; still; Aviv; Odin; naiv; seid; steife
stif
^^^^"|||
5193|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: bekam; bekäme; bekamt; bekämt; begann; bekamen; bekommt; begab; begabt; bekomme; bekämen; gekämmt; benahm; Bockdamm; Bocklamm; Deckarm; Neukamm; Webkamm; begase; begast
bekamm
^^^^^^"|||
5194|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: blockierten; Blickarten; Plakaten; plagten; blickenden; Blockarten; flackerten; blick-arten; Klagearten; block-arten; Flugarten; Glasarten; Altkarten; Kalkarten; Blockwarten; Speckarten; Glücksarten; Flugkarten; Blauarten; Plankarten
plakarten
^^^^^^^^^"|||
5195|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: angelegt; gelegt; abgelegt; gepflegt; gekeltert; gefleckt; geklagt; geklebt; umgelegt; zugelegt; geglückt; gegeigt; gegellt; gegelt; gegenlest; gekegelt; gekriegt; getelext; kegele; kegelst
gekelegt
^^^^^^^^"|||
5196|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: plötzlich; letztlich; plötzliche; pröpstlich
plötztlich
^^^^^^^^^^"|||
5197||||
5198|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: freute tränen; freute Tränen; Freudentränen; freudetrunken
freutetränen
^^^^^^^^^^^^"|||
5199|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gegen; geschenkt; Geschenk; wegen; gesehen; Gegend; legen; beging; geschmückt; regen; Regent; Degen; Geschenke; Segen; beschenkt; geglückt; geschehe; geschluckt
geschänk
^^^^^^^^"|||
5200|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: es; aß; esse; Ass; Ness; esst; iss; kess; äse; äsen; äsest; äst; des; ist; als; aus; das; ein; er
ess
^^^"|||
5201||||
5202|"Offset 0, length 9, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gestorben; Westroben; gestoben; Restroben; geschoben; Festroben; gestoßen; Testroben; Bestreben; Zeitroben; gestorbene; Weltroben; gestrigen; Geldroben; Westrosen; Textroben; bestreben; Arztroben; gastrogen; Feldroben
gestroben
^^^^^^^^^"|||
5203||||
5204|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Feier; Freier; Pfleger; Vier; Kleiner; Zweier; Freie; Feuer; Freien; Pflege; Vieler; Leer; Feder; Feiern; Felder; Speyer; Leider; Fieber; Feiert; Meier
Fleier
^^^^^^"|||
5205|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Mätzchen; Kätzchen; Menschen; Fetzchen; Mädchen; Lätzchen; Mengen; Metzger; Sätzchen; Tetschen; Märschen; Matschen; Metzgern; Medischen; Mätzchens; Zeigen; Mäuschen; Mützchen; Hängen; Tätigen
Mädschen
^^^^^^^^"|||
5206|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: traurig; drüsig; traurige; tranig; traubig; trutzig
truarig
^^^^^^^"|||
5207|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: weg; Säcke; weck; wer; Jack; dick; Beck; Heck; Nick; reg; wog; Bock; Mick; back; weckt; wem; wen; Bäcker; Dock; Sack
wek
^^^"|||
5208|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: foult; fühlt; fügt; Kult; fußt; füllt; Pult; fault; Huld; foule; foulst; foulte; fugt; füll; pult; für; fand; fast; führt; fünf
fult
^^^^"|||
5209||||
5210|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: auf; aus; aufs; als; auch; also; fünf; muss; Haus; außen; außer; Fuß; Ruf; ans; Kauf; Lauf; Bush; Faust; Pause; au
ausf
^^^^"|||
5211|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gefreut; gefreit; gefrort; gefrönt; befreit; geformt; gefragt; gekrönt; Detroit; gekreuzt; gedroht; getreu; geflößt; gefräst; geprobt; getreue; gefeit; getrost; gefror; gefreite
gefroit
^^^^^^^"|||
5212|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gekielt; gespielt; gezielt; gestielt; geliebt; gegabelt; geklebt; gegrillt; gefliest; gekniet; gechillt; gefielt; gegeißelt; gegelt; gekabelt; gekegelt; gekielte; gekiest; gekillt; geklickt
geklielt
^^^^^^^^"|||
5213|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: gefeuert; gehört; geführt; gefeiert; gefolgt; geformt; gezeugt; gebeugt; gebohrt; gefriert; befeuert; geteuft; gefeit; gefoult; gefeilt; befeure; gebeult; gedörrt; gefeixt; gefeuerte
gefoirt
^^^^^^^"|||
5214|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Lutz; Ludst; Lucca; Nutzt; Luisa; Lud; Louisa; Jutta; Louis; Juda; Louise; Luise; Mütze; Luther; Putz; Yucca; Luca; Luden; Lucia; Nutze
Lutza
^^^^^"|||
5215|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: saßt; säst; fast; sagt; samt; saß; Gast; hast; last; satt; zart; Bast; rast; sagst; sät; säße; saut; Last; Mast; Rast
sast
^^^^"|||
5216|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: so; wo; zog; sah; sog; roh; zäh; oh; zoom; Co; Go; Joh; Po; Roh; eo; seh; von; sich; zu
soh
^^^"|||
5217|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: vermisste; vereiste; verminte; vermisse; vermieste; vermiete; bereiste; fertigte; vermieden; vereinte; vermietet; vermisst; vermeidet; vermied; verbüßte; vermieten; vermischte; vermissen; vermissten; verwaiste
vermiste
^^^^^^^^"|||
5218|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Schreibtisch; schrei-tische; schrei-wisch; schrei-tags; Achsteiltisch; Uhreiltisch; Choreiltisch; Rohreiltisch; Ohreiltisch; Wehreiltisch; Bohreiltisch; Ohrseiltisch; Achteiltisch; Echoeiltisch; Fahreiltisch; Kehreiltisch; Mehreiltisch
schreiltisch
^^^^^^^^^^^^"|||
5219|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: jemand; bemannt; bekannt; genannt; benannt; bemannte; gebannt; gekannt; gemahnt; begannt; gerannt; Sämann; Sämanns; begännt; bemanne; berannt; besannt; ermannt; gewannt; gewännt
jemannd
^^^^^^^"|||
5220|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Auch; Juchhu; Wuchs; Juhu; Buch; Zuge; Zug; Züge; Sucht; Auge; Bucht; Hugo; Jagd; Küche; Fuchs; Euch; Fügt; Joch; Tuch; Yacht
Juchu
^^^^^"|||
5221|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Klingelte; Blinzelte; Klingelt; Geißelte; Kriselte; Clinchte; Klingele; Klingelten; Klingeltet; Klingle; Klinkte; Klonende; Klönende; Klügelte; Klüngelte; Kringelte
Klinelte
^^^^^^^^"|||
5222|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Bälde; Beide; Bände; Beste; Beute; Kälte; Gelte; Felde; Bälle; Zelte; Belle; Bilde; Beltz; Bete; Beete; Gälte; Bolte; Melde; Bälge; Bärte
Belte
^^^^^"|||
5223|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: um arte; smarte; umarmte; umarme; Karte; harte; malte; uralte; arte; klärte; marode; sparte; umbaute; zarte; Quarte; matte; smart; starte; umarmen; umarmt
umarte
^^^^^^"|||
5224|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Telefon; Helfen; Teflon; Nelson; Kelvin; Welfen; Tälern; Dämpfen; Teltow; Delfin; Delphin; Talon; Telefone; Telefons; WelfIn; Teilton; Welfin; Hälfen; Teflons
Telfon
^^^^^^"|||
5225|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: basiert; passiert; pausiert; pariert; barst; barstet; barstst; parliert
parsirt
^^^^^^^"|||
5226|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: drang; Strauch; brauch; Brauch; tauch; auch; brach; rasch; taucht; braucht; Bauch; Bruch; Rauch; brauche; drängt; träumt; Bräuche; drauf; raucht; trank
trauch
^^^^^^"|||
5227|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: zurück; Druck; zuck; Hauruck; Struck; Truck; druck; spuck; zudrucke; zudruckt; zugucke; zuguckt; zurufe; zuruft; zutrug; zutrugt; zück; rück
zuruck
^^^^^^"|||
5228|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Zürich; Aurich; haarig; hurtig; Würrich; hüglig; lumpig; rührig; wurmig; rumreich
humrich
^^^^^^^"|||
5229|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: hier; ihr; hin; her; wir; mir; Sir; dir; hie; hip; hör; Kir; der; die; in; im; mit; ein; er; für
hir
^^^"|||
5230|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Marke; karge; trage; Särge; danke; Barke; drücke; tauge; tanke; Farce; Farge; Marge; Zarge; darbe; darre; drucke; harke; parke; tagge; tarne
darke
^^^^^"|||
5231|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Muss; Süß; Fuß; Kuss; Saß; Guss; Nuss; Ruß; Zuse; Küss; Zugs; Buzz; Zus.; Aus; Dass; Kurz; Zu; Fluss; Zuge; Zum
Zuss
^^^^"|||
5232|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Plakate; Blockierte; Plankarte; Plagte; Blickende; Paarte; Flackerte; Blockwarte; Flugkarte; Klickrate; Beackerte; Blockartig; Blockartige; Blockbare; Blockende; Gluckerte; Kleckerte; Klickerte; Plackende; Plackte
PlaKarte
^^^^^^^^"|||
5233|"Offset 0, length 11, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: verzweifelt; Herzwegfeld; verzweifelte; verzweifeln; verzweifele; verzweifelnd; verzweifelten; verzweifelter; Verzweifeln; versteifend; verzweifelnde; verzweifelst; verzweifeltem; verzweifeltes; verzweifeltet; verzweifle; verzweigend
verzweifeld
^^^^^^^^^^^"|||
5234|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: erzählt; erzählte; erwählt; erzähle; erzähl; erzähls; erwähnt; gezählt; erfährt; erzielt; bezahlt; ernährt; erzählen; gezahlt; erzählten; ermahnt; erwählte; erzählter; erlahmt; erzählend
erzahld
^^^^^^^"|||
5235|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: grelle; Uhrelle; schnelle; Chorelle; grell; Rohrelle; grellen; Ohrelle; schrille; Wehrelle; greller; Bohrelle; grelles; grille; grolle; schelle; gelle; Achtelle; grellem; Echoelle
schrelle
^^^^^^^^"|||
5236|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Klingel; Klingelt; Klingeln; Klinker; Klingele; Klinke; Klingen; Klinkern; Klinge; Kleingeld; Klingend; Klingelns; Klingelte; Klinken; Klingens; Klinkers; Klüngel; Klüngeln
Klingell
^^^^^^^^"|||
5237|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: begrüßen; begrüßten; Begrüßen; begrüben; begrünen; begrüße; begrüßend; begraben; begründen; begrüßt; begnügen; begrüßte; betrügen; begruben; begrünten; Nekrosen; begossen; begießen; Begrünen; Begrüßens
begrüsen
^^^^^^^^"|||
5238|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Gimmick; Ziemlich; Zyklik
Zimlick
^^^^^^^"|||
5239|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: leben; Typen; lieben; loben; Eiben; laben; liken; einen; haben; liegen; ließ; neben; Wien; geben; lebten; oben; sieben; bleiben; blieben; lagen
liben
^^^^^"|||
5240|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: zurück; zügig; Kuckuck; zuck; lückig; zackig; zickig; zugig; zugucke; zuguckt; zück; rückte; sucht; rücken; rückt; Lucy; Lücke; Lücken; zuzog; such
zukük
^^^^^"|||
5241|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: umkamt; umrahmt; umkam; umarmt; umbaut; umsäumt; Endamt; Luftamt; umband; umgabt; umhabt; umhast; umhat; umhaut; umkamst; umkäme; umkämet; umlädt; ummäht; umräumt
umtamt
^^^^^^"|||
5242|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wüst; küsst; kürt; büßt; kost; küss; düst; käst; kürst; süßt; ist; erst; gibt; fast; geht; gilt; gut; fest; galt; Küste
küst
^^^^"|||
5243|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Steckbrief; Steckbriefe
steckbrife
^^^^^^^^^^"|||
5244|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sehnsüchtig; sehnsüchtige
sehnsüschtig
^^^^^^^^^^^^"|||
5245|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: käse; des; es; gen; kHz; geh; keV; Fez; wes; gäb; Fes; Heß; gis; kess; käsen; käst; der; den; als
ges
^^^"|||
5246|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: freute; fremde; Freude; freut; freue; freuten; Bräute; bläute; dräute; freite; freunde; freutet; fräste; freie; breite; drehte; prägte; vierte; Freunde; Kräfte
vreude
^^^^^^"|||
5247|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: heimgekehrt; heimkehrt; heim-acker; heimgekehrte; heimbegebt; heimgehend; heimkämest; heimkämet; heimgewerkt
heimgekert
^^^^^^^^^^"|||
5248|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: bring; bringt; brennt; bringe; rinnt; brenne; beinig; brenn; pinne; pinnt; pling; rinne; wring
brinng
^^^^^^"|||
5249|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Familie; Fasste; Varieté; Famose; Fäuste; Fähigste; Batiste; Damaste; Fazite; Fadeste; Varize; Fadste; Miste; Fahlste; Mäste; Fairste; Faste; Faulste; Feiste; Freiste
Famiste
^^^^^^^"|||
5250|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Damit; Faust; Fast; Frist; Fasst; Fazit; Damast; Hamish; Famose; Feist; Batist; Elamist; Fauvist; Fazits; Gambist; Mamis; Maoist; Papist; Sadist; Campst
Famist
^^^^^^"|||
5251|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: weit; seit; Zeit; weil; weiß; weite; wert; Veit; weht; Neid; leid; seid; wett; Waid; webt; weis; werd; wägt; reit; Leid
weid
^^^^"|||
5252|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Käthe; Räte; täte; bete; säte; mute; Fete; bäte; jäte; mähe; mähte; mit; mehr; Meter; alte; hätte; Nähe; Peter; Reihe; ehe
methe
^^^^^"|||
5253|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: überlege; überlegt; überleg; überlegen; Oberleib; überlese; überlebe; überlebt; überlegst; überlegte; überlest; überlädt; überläse; überbleib; überfärb
überlegb
^^^^^^^^"|||
5254|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Eimern; Amern; Timern; imkern; ihren; immer; Bern; Kern; gern; mein; Opern; Römern; fern; intern; Ämtern; Eiern; Litern; Ufern; Adern; Simeon
imern
^^^^^"|||
5255|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: rüber; über; bar; gebar; urbar; rar; drüber; trüber; prüfbar; Kübra; Urpaar; ortbar; rüder; rühr; unbar; Akbar
rübar
^^^^^"|||
5256|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Pflicht; Flicht; Flickt; Flucht; Fliegt; Blickt; Pflegt; Voigt; Flick; Flocht; Klickt; Pflückt; Flirt; Blicht; Flacht; Flogt; Glicht; Flickr; Flicks
Fligt
^^^^^"|||
5257|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Weimar; einer; einmal; Heimat; Lima; Vikar; Wismar; Elmar; Sima; Timor; Bihar; Dinar; Eimer; Otmar; binär; Geismar; Weimars; Limas; Binär; Dima
eimar
^^^^^"|||
5258|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: hat; gut; Süd; tut; lud; out; Hut; Mut; Wut; Ehud; hui; hüte; Cut; Gut; Nut; Put; Sud; hü; rüd
hud
^^^"|||
5259|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Gas sie; Gasse; Faszie; Ganze; Gassi; Masse; Maße; Fasste; Massiv; Massive; Mäßig; Rasse; Lasse; Passiv; Gäste; Passive; Passte; Kasse; Pässe; Hasste
Gassie
^^^^^^"|||
5260|"Offset 0, length 16, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
vermistenplakate
^^^^^^^^^^^^^^^^"|||
5261|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: später; späten; spätere; späte; spätes; spätem; aber; Vater; späteren; seither; spät; späterer; sparen; Krater; sauer; spalten; spaltet; späteres; Kater; Prater
spater
^^^^^^"|||
5262|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Klettergerüst
Kletergerost
^^^^^^^^^^^^"|||
5263|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: rennt; Arendt; renkt; Fendt; Wendt; rund; endet; grenzt; hängt; nennt; recht; kennt; wendet; Bände; Hände; Senat; reist; runde; sendet; trennt
rendt
^^^^^"|||
5264|"Offset 0, length 6, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: fließt; frisst; Triest; friert; priest; fliest; freist; frierst; triezt; fest; fliegt; reist; feiert; flieht; freies; liest; Brest; Fries; Frist; Orient
friest
^^^^^^"|||
5265|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Klinker; Klingelt; Klinkern; Klingend; Clinchend; Klinkers; Klickert; Blinker; Klinkend; Klinke; Gliedert; Klingen; Lindert; Klingt; Klingel; Klingende; Flinker; Blinkart; Blinkern
Klingert
^^^^^^^^"|||
5266|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Gelaufe; gelaufen; Geläufe; belaufe; gebaute; gekauft; genaue; getauft; beläuft; belaufen; gehäuft; geläufig; glaube; Abläufe; gekaufte; geläufige; geläutet; getaufte; gehäufte; gelaufene
gelaufe
^^^^^^^"|||
5267|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: die; sie; wie; nie; rief; riet; Arie; hie; Brie; rieb; ree; rhe; Bye; bye; in; im; mit; ein; eine; bei
rie
^^^"|||
5268|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Telefon; Telefone; Telefons
Tehlefon
^^^^^^^^"|||
5269|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ein; eine; einen; eins; Sinn; Zinn; Kinn; eint; Linn; Finn; Fynn; Lynn; in; einem; einer; sind; eines; kann; sein
einn
^^^^"|||
5270|"Offset 0, length 2, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: ev.; EV; der; den; des; dem; ein; er; bei; es; neu; sei; New; her; See; ehe; elf; eng; per; weg; wer
ev
^^"|||
5271|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wirkt; birgt; gerückt; kickt; gingt; gurkt; gereckt; gerockt; geruckt; gibt; liegt; Kirche; gilt; ging; direkt; wirkte; Markt; circa; sorgt
kirgt
^^^^^"|||
5272|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: stand; stünde; stuft; Stunt; stunde; zäunt; und; sind; statt; rund; steht; Grund; tun; Bund; Mount; Stunde; stößt; Edmund; Fund; Hund
stund
^^^^^"|||
5273|"Offset 0, length 14, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
klingelineling
^^^^^^^^^^^^^^"|||
5274|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sprang; daran; sprach; voran; Iran; heran; sparen; spüren; Koran; Uran; woran; Kran; Meran; Sopran; dran; spart; Goran; Göran; plan; ran
spran
^^^^^"|||
5275|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Freude tränen; Freudentränen; Freudenträne; Freudetrunken
Freudetränen
^^^^^^^^^^^^"|||
5276|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: sprachlos; sprachlose; Sprachlos; strauchlos; sprach-los
sprarchlos
^^^^^^^^^^"|||
5277|"Offset 0, length 3, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: und; an; fand; Band; Land; alt; Hand; Rand; ans; ad; Sand; ante; anti; wand; Tand; Wand; aßt; band; äst; in
and
^^^"|||
5278|"Offset 0, length 4, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: wie; wider; wilde; vice; widme; Byte; Eide; Tide; vife; vote; wate; weide; widre; winde; wüte; Kite; Site; die; mit; eine
wide
^^^^"|||
5279|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: scharfe; scharte; gare; gärte; gable; gäre; schale; schalle; schare; scharre; schäle; schärfe; garte; galt; ganze; gar; gerne; schwarze; scharf; scharfen
scharle
^^^^^^^"|||
5280|"Offset 0, length 14, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: Hunde-Leckerlis; Hunde-Leckerli; Hunde-Lückenlos; Hunde-Bäckerei; Hunde-Bäckers
hunde-Lekerlis
^^^^^^^^^^^^^^"|||
5281|"Offset 0, length 7, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: basierte; basiert; basierten; passierte; passte; absurde; pausierte; posierte; basiere; paarte; parierte; rasierte; basierter; basiertes; Fazite; bahrte; basiertem; basiertet; bewirte; bezirze
basirte
^^^^^^^"|||
5282|"Offset 0, length 8, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: klingelt; klingeln; klingend; klingelte; klingel; klingele; klingelst; klinkend; klüngelt; kringelt; klingen; klingt; klingende; geangelt; geringelt; klinge; Klingel; klinkt; klinken
glingelt
^^^^^^^^"|||
5283|"Offset 0, length 12, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: telefonierten; telefonieren; telefonierte; Telefonisten; telefoniertet
telefonirten
^^^^^^^^^^^^"|||
5284|"Offset 0, length 5, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: kamen; kämen; Namen; gaben; Samen; Damen; käme; gäben; kauen; garen; gären; kämmen; amen; Kamen; kramen; käsen; Agamen; gegen; kann; waren
gamen
^^^^^"|||
5285|"Offset 0, length 10, Rule ID: GERMAN_SPELLER_RULE
Message: Möglicher Tippfehler gefunden.
Suggestion: geklingelt; geklinkert; gekringelt; geringelt; klingelt; Geklingel; Geklingels; anklingelt; geblinzelt; gegiggelt; gegängelt; geklinkerte; gekungelt; geplänkelt; getingelt
geglingelt
^^^^^^^^^^"|||
