id	misspelling	gold	suggestions	suggestions_withRank
9778	erschrekt	erschreckt	[erschrakt, erschreckt, Erschreckt]	{1.0=[erschrakt, erschreckt], 1.5=[Erschreckt]}
9779	ziht	zieht	[zieht, Zieht, Zimt]	{1.0=[zieht], 1.5=[Zieht, Zimt]}
9780	sahk	Sack	[sah, sank, saht]	{1.0=[sah, sank, saht]}
9781	ziht	zieht	[zieht, Zieht, Zimt]	{1.0=[zieht], 1.5=[Zieht, Zimt]}
9782	kete	Kette	[knete, bete, Kette]	{1.0=[knete, bete], 1.5=[Kette]}
9783	fote	Pfote	[tote, rote, Pfote]	{1.0=[tote, rote, Pfote]}
9784	sarisen	zerrissen	[sausen, Waisen, Serien, Brisen, Saison, Prisen, Speisen]	{2.0=[sausen], 2.5=[Waisen, Serien, Brisen, Saison, Prisen, Speisen]}
9785	knohen	Knochen	[knoten, Knochen, Knoten]	{1.0=[knoten], 1.5=[Knochen, Knoten]}
9786	ales	alles	[Tales, alles, als, altes]	{1.0=[Tales, alles, als, altes]}
9787	Dedeektive	Detektive	[Detektive, Detektiv, Detektivs, Detektiven]	{2.0=[Detektive], 3.0=[Detektiv, Detektivs, Detektiven]}
9788	Abrobos	apropos	[Apropos, apropos, grobes, Abriss]	{2.0=[Apropos], 2.5=[apropos], 3.0=[grobes, Abriss]}
9789	Hundeleckelis	Hundeleckerlis	[Hundegebell, Hundeleine, Handgelenks, Hundekuchen, Handgelenke, Rundliches, Handgelenken]	{5.0=[Hundegebell, Hundeleine], 6.0=[Handgelenks, Hundekuchen, Handgelenke, Rundliches, Handgelenken]}
9790	rauß	raus	[rauf, rau, raus, raub, raue]	{1.0=[rauf, rau, raus, raub, raue]}
9791	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
9792	Mülltone	Mülltonne	[Mülltonne, Mülltonnen, Millionen, Million]	{1.0=[Mülltonne], 2.0=[Mülltonnen], 3.0=[Millionen, Million]}
9793	belt	bellt	[welt, bellt, bebt, beet]	{1.0=[welt, bellt, bebt, beet]}
9794	den	denn	[den, Den, der, denk, gen, wen, des, Öden, öden, dein, dem, denn]	{0.0=[den], 0.5=[Den], 1.0=[der, denk, gen, wen, des, Öden, öden, dein, dem, denn]}
9795	geschaft	geschafft	[geschart, geschaut, geschafft]	{1.0=[geschart, geschaut, geschafft]}
9796	herraußgeschleudert	herausgeschleudert	[geschleudert, geschlendert, herumgeschlichen, herausgefordert, herumgeschlagen, herumgeschnüffelt]	{7.0=[geschleudert], 8.0=[geschlendert, herumgeschlichen, herausgefordert, herumgeschlagen, herumgeschnüffelt]}
9797	rauß	raus	[rauf, rau, raus, raub, raue]	{1.0=[rauf, rau, raus, raub, raue]}
9798	amfang	Anfang	[Anfang, umfing, abfing, anfange, fang, anfing, anfangs, anfangt]	{1.5=[Anfang], 2.0=[umfing, abfing, anfange, fang, anfing, anfangs, anfangt]}
9799	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
9800	hundekeckse	Hundekekse	[Hundekuchen, Hundeleine, hunderte, ungerechte, hundemüde, zudeckte]	{4.5=[Hundekuchen, Hundeleine], 5.0=[hunderte, ungerechte, hundemüde, zudeckte]}
9801	gegesen	gegessen	[gegessen, gewesen, gelesen, gegeben]	{1.0=[gegessen, gewesen, gelesen, gegeben]}
9802	Schüsel	Schüssel	[Schüssel, Schüsse, Schlüssel, Schüttel, Schüler, Schädel, Schemel, Schüssen, Achsel, Schübe, Schüsseln]	{1.0=[Schüssel], 2.0=[Schüsse, Schlüssel, Schüttel, Schüler, Schädel, Schemel, Schüssen, Achsel, Schübe, Schüsseln]}
9803	ubrig	übrig	[übrig, Übrig, ulkig, übrige, bring]	{1.0=[übrig], 1.5=[Übrig], 2.0=[ulkig, übrige, bring]}
9804	belte	bellte	[bebte, gelte, beste, belle, bellte, bete]	{1.0=[bebte, gelte, beste, belle, bellte, bete]}
9805	Lerte	leerte	[Legte, Leute, Lernte, Lebte, Werte, Lerne]	{1.0=[Legte, Leute, Lernte, Lebte, Werte, Lerne]}
9806	belte	bellte	[bebte, gelte, beste, belle, bellte, bete]	{1.0=[bebte, gelte, beste, belle, bellte, bete]}
9807	wider	wieder	[wider, wieder, wilder, weder]	{0.0=[wider], 1.0=[wieder, wilder, weder]}
9808	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
9809	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
9810	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
9811	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
9812	verschlmutzt	verschmutzt	[verschmitzt, verschluckt, verschmilzt, verschwitzt]	{2.0=[verschmitzt], 3.0=[verschluckt, verschmilzt, verschwitzt]}
9813	geschtaubt	gestaubt	[geschraubt, geschnaubt, geschnauzt, geschnauft, geschaut]	{1.0=[geschraubt, geschnaubt], 2.0=[geschnauzt, geschnauft, geschaut]}
9814	gesehn	gesehen	[gesehn, gesehnt, gesehen]	{0.0=[gesehn], 1.0=[gesehnt, gesehen]}
9815	geschtaubt	gestaubt	[geschraubt, geschnaubt, geschnauzt, geschnauft, geschaut]	{1.0=[geschraubt, geschnaubt], 2.0=[geschnauzt, geschnauft, geschaut]}
9816	denn	den	[denn, Denn, denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]	{0.0=[denn], 0.5=[Denn], 1.0=[denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]}
9817	denn	den	[denn, Denn, denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]	{0.0=[denn], 0.5=[Denn], 1.0=[denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]}
9818	mitgenomen	mitgenommen	[mitgenommen, mitgekommen, mitgehen, mitgegeben, eingenommen, mitgeholfen, mitbekommen, mitbekamen, mitnehmen, mitgeben]	{1.0=[mitgenommen], 2.0=[mitgekommen], 3.0=[mitgehen, mitgegeben, eingenommen, mitgeholfen, mitbekommen, mitbekamen, mitnehmen, mitgeben]}
9819	denn	den	[denn, Denn, denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]	{0.0=[denn], 0.5=[Denn], 1.0=[denk, dann, nenn, renn, denen, kenn, dein, wenn, dünn, den]}
9820	kralen	Krallen	[kramen, kraulen, krallen]	{1.0=[kramen, kraulen, krallen]}
9821	gefast	gefasst	[gerast, gefaßt, gefasst]	{1.0=[gerast, gefaßt, gefasst]}
9822	geplast	geplatzt	[geplant, geplagt, Geplagt, Geplant]	{1.0=[geplant, geplagt], 1.5=[Geplagt, Geplant]}
9823	kexcken	Kekschen	[kecken, decken, knicken, wecken, recken, kicken, lecken, klicken, knacken, keuchen, kecker, keckem]	{1.0=[kecken], 2.0=[decken, knicken, wecken, recken, kicken, lecken, klicken, knacken, keuchen, kecker, keckem]}
9824	gekrickt	gekriegt	[geknickt, gekickt, geklickt]	{1.0=[geknickt, gekickt, geklickt]}
9825	verükte	verrückte	[verfügte, merkte, verrate, verrückte, verzückte, vermute, verhakte]	{2.0=[verfügte, merkte, verrate, verrückte, verzückte, vermute, verhakte]}
9826	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
9827	staupsauger	Staubsauger	[Staubsauger, Staubsaugers, struppiger, staubiger, stinksauer]	{1.5=[Staubsauger], 2.5=[Staubsaugers], 4.0=[struppiger, staubiger, stinksauer]}
9828	ligen	Liegen	[lägen, lagen, lügen, legen, öligen, logen, liegen, eigen, lugen]	{1.0=[lägen, lagen, lügen, legen, öligen, logen, liegen, eigen, lugen]}
9829	Hundekeckse	Hundekekse	[Hundekuchen, Hundeleine, Handgelenks, Hundes, Handgelenke, Hunderte, Hundegebell, Fundstücke, Hundehütte, Hindernisse, Hundemüde, ungerechte]	{4.0=[Hundekuchen, Hundeleine], 5.0=[Handgelenks, Hundes, Handgelenke, Hunderte, Hundegebell, Fundstücke, Hundehütte, Hindernisse, Hundemüde, ungerechte]}
9830	Keckse	Kekse	[Kleckse, Kekse, Keks, Decke, Keckem, Keksen, Hecke, Decks, Klecksen, Klecks, Deckst, Knickse]	{1.0=[Kleckse, Kekse], 2.0=[Keks, Decke, Keckem, Keksen, Hecke, Decks, Klecksen, Klecks, Deckst, Knickse]}
9831	aufgesaut	aufgesaugt	[aufgesagt, aufgebaut, aufgemalt, aufgepaßt]	{1.0=[aufgesagt, aufgebaut], 2.0=[aufgemalt, aufgepaßt]}
9832	wolte	wollte	[wogte, wollte, holte, wolle]	{1.0=[wogte, wollte, holte, wolle]}
9833	keckse	Kekse	[Kleckse, Kekse, lecke, deckst, weckte, reckte, kicke, kickst, decke, keck, deckte, weckst, kecker, kickte, leckte, keckem, kecken, recke]	{1.5=[Kleckse, Kekse], 2.0=[lecke, deckst, weckte, reckte, kicke, kickst, decke, keck, deckte, weckst, kecker, kickte, leckte, keckem, kecken, recke]}
9834	bestint	bestimmt	[bestens, bestieg, betont, bestritt, bestaunt, besteht, besten, besteigt, besticht, bestand, bestimmt, besitzt, besinnt, bestickt]	{2.0=[bestens, bestieg, betont, bestritt, bestaunt, besteht, besten, besteigt, besticht, bestand, bestimmt, besitzt, besinnt, bestickt]}
9835	lert	leert	[lehrt, legt, lern, wert, lest, lebt, lernt, leert]	{1.0=[lehrt, legt, lern, wert, lest, lebt, lernt, leert]}
9836	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
9837	ind	in	[Wind, in, find, Kind, Find, sind, und, Sind, Rind, ins]	{1.0=[Wind, in, find, Kind, Find, sind, und, Sind, Rind, ins]}
9838	schmeisen	schmeißen	[schmeißen, Schneisen, schmissen, schweigen, schneien, schweifen, schmeiße, schmieden, schmiegen, schreiben, schleifen, schneiten, scheinen, schmecken, scheiden, schreien, schmieren, schmelzen, schreiten, schneiden, schmerzen]	{1.0=[schmeißen], 1.5=[Schneisen], 2.0=[schmissen, schweigen, schneien, schweifen, schmeiße, schmieden, schmiegen, schreiben, schleifen, schneiten, scheinen, schmecken, scheiden, schreien, schmieren, schmelzen, schreiten, schneiden, schmerzen]}
9839	belt	bellt	[welt, bellt, bebt, beet]	{1.0=[welt, bellt, bebt, beet]}
9840	weis	weiß	[weist, leis, weise, weiß, wein, weil, wies, weit]	{1.0=[weist, leis, weise, weiß, wein, weil, wies, weit]}
9841	im	ihm	[im, Im, IM, in, iß, um, i, is, cm, am, m, ihm]	{0.0=[im], 0.5=[Im], 1.0=[IM, in, iß, um, i, is, cm, am, m, ihm]}
9842	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
9843	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
9844	Keckse	Kekse	[Kleckse, Kekse, Keks, Decke, Keckem, Keksen, Hecke, Decks, Klecksen, Klecks, Deckst, Knickse]	{1.0=[Kleckse, Kekse], 2.0=[Keks, Decke, Keckem, Keksen, Hecke, Decks, Klecksen, Klecks, Deckst, Knickse]}
9845	zit	zieht	[fit, mit, zeit]	{1.0=[fit, mit, zeit]}
9846	in	ihn	[in, In, im, IN, Bin, bin, i, is, Ein, ein, Hin, hin, an, ihn, ins, iß]	{0.0=[in], 0.5=[In], 1.0=[im, IN, Bin, bin, i, is, Ein, ein, Hin, hin, an, ihn, ins, iß]}
9847	Halzband	Halsband	[Halsband, Holzwand, Holzbank]	{1.0=[Halsband], 2.0=[Holzwand, Holzbank]}
9848	krats	kratz	[kraus, krass, kratz]	{1.0=[kraus, krass, kratz]}
9849	staup	Staub	[Stau, Staub, staune, stopp, sau, stur, statt, starr, taub, stahl, stach, stark, staunt, stank, starb, stand, stups, stak]	{1.5=[Stau, Staub], 2.0=[staune, stopp, sau, stur, statt, starr, taub, stahl, stach, stark, staunt, stank, starb, stand, stups, stak]}
9850	fligt	fliegt	[fliegt, Fliegt, frißt, flippt, neigt, fegt, lugt, lügt, feixt, klingt, fangt, plagt, litt, fragt, fit, lagt, legt, flieg, flieh, liegt, fliegst, flitzt, klagt, fängt, flöge, flicht, flieht, folgt, feige, fleht, ölig, fließt, ölige, zeigt, flog, flink, fügt, fliege, pflegt, feig, flickt, flott, glitt, filmt]	{1.0=[fliegt], 1.5=[Fliegt], 2.0=[frißt, flippt, neigt, fegt, lugt, lügt, feixt, klingt, fangt, plagt, litt, fragt, fit, lagt, legt, flieg, flieh, liegt, fliegst, flitzt, klagt, fängt, flöge, flicht, flieht, folgt, feige, fleht, ölig, fließt, ölige, zeigt, flog, flink, fügt, fliege, pflegt, feig, flickt, flott, glitt, filmt]}
9851	überal	überall	[überall, Überall, übergab, übersah, überkam, überlaß, über, überm, übel, übers, überaus]	{1.0=[überall], 1.5=[Überall], 2.0=[übergab, übersah, überkam, überlaß, über, überm, übel, übers, überaus]}
9852	fro	froh	[froh, pro, fror]	{1.0=[froh, pro, fror]}
9853	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
9854	Keste	Kekse	[Beste, Reste, Kiste, Koste, Küste, Kette, Geste, Weste, Feste]	{1.0=[Beste, Reste, Kiste, Koste, Küste, Kette, Geste, Weste, Feste]}
9855	wider	wieder	[wider, wieder, wilder, weder]	{0.0=[wider], 1.0=[wieder, wilder, weder]}
9856	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
9857	ferschüttet	verschüttet	[verschüttet, erschüttert, verschütte, verschüttest, verschüttete, geschüttet, verschütten]	{1.0=[verschüttet], 2.0=[erschüttert, verschütte, verschüttest, verschüttete, geschüttet, verschütten]}
9858	Müleimer	Mülleimer	[Mülleimer, Mülleimern, kleiner, Meier, Kleider, Kleiner, leider, leiser, Meiner]	{1.0=[Mülleimer], 2.0=[Mülleimern], 3.0=[kleiner, Meier, Kleider, Kleiner, leider, leiser, Meiner]}
9859	las	lass	[las, los, blas, lag, Blas, last, Glas, das, lass, was, lös, als, laß]	{0.0=[las], 1.0=[los, blas, lag, Blas, last, Glas, das, lass, was, lös, als, laß]}
9860	zerte	zerrte	[zerrte, zarte, werte, zierte, zerre]	{1.0=[zerrte, zarte, werte, zierte, zerre]}
9861	kralte	krallte	[kralle, uralte, kraulte, kalte, krallte, kramte]	{1.0=[kralle, uralte, kraulte, kalte, krallte, kramte]}
9862	fil	fiel	[fit, fix, fiel, eil]	{1.0=[fit, fix, fiel, eil]}
9863	fil	fiel	[fit, fix, fiel, eil]	{1.0=[fit, fix, fiel, eil]}
9864	genüslich	genüsslich	[genüsslich, genüßlich, Genüsslich]	{1.0=[genüsslich, genüßlich], 1.5=[Genüsslich]}
9865	au	aus	[Au, tu, ab, a, sau, ah, rau, Tau, Wau, am, an, du, auf, AU, bau, Bau, zu, Hau, hau, aß, kau, aus]	{0.5=[Au], 1.0=[tu, ab, a, sau, ah, rau, Tau, Wau, am, an, du, auf, AU, bau, Bau, zu, Hau, hau, aß, kau, aus]}
9866	fersehn	Versehen	[Fersen, versehen, fernsehe, verstehn, fesseln, fernen, gesehn, fernsehen]	{1.5=[Fersen], 2.0=[versehen, fernsehe, verstehn, fesseln, fernen, gesehn, fernsehen]}
9867	ferschüttet	verschüttet	[verschüttet, erschüttert, verschütte, verschüttest, verschüttete, geschüttet, verschütten]	{1.0=[verschüttet], 2.0=[erschüttert, verschütte, verschüttest, verschüttete, geschüttet, verschütten]}
9868	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
9869	karm	kam	[warm, kam, karg, kaum, arm]	{1.0=[warm, kam, karg, kaum, arm]}
9870	belt	bellt	[welt, bellt, bebt, beet]	{1.0=[welt, bellt, bebt, beet]}
9871	müllbeütel	Müllbeutel	[Geldbeutel, Mülleimer, füllten, kullerten, mündeten, füllte, meldete, mündete, meldeten, hüllten, kullerte, hüllte]	{4.5=[Geldbeutel, Mülleimer], 5.0=[füllten, kullerten, mündeten, füllte, meldete, mündete, meldeten, hüllten, kullerte, hüllte]}
9872	auslehen	ausleeren	[ausleihen, auslegen, ausgehen, aussehen, ausliehen]	{1.0=[ausleihen, auslegen, ausgehen, aussehen, ausliehen]}
9873	sparang	sprang	[sprang, spring, sparen, spreng]	{1.0=[sprang], 2.0=[spring, sparen, spreng]}
9874	weck	weg	[weck, Weck, keck, weckt, deck, welk, Zweck]	{0.0=[weck], 0.5=[Weck], 1.0=[keck, weckt, deck, welk, Zweck]}
9875	kralt	krallt	[krallt, kramt, krault, uralt, kalt]	{1.0=[krallt, kramt, krault, uralt, kalt]}
9876	anschlisend	anschließend	[anscheinend, anschließend, Anscheinend, Anschließend]	{2.0=[anscheinend, anschließend], 2.5=[Anscheinend, Anschließend]}
9877	nam	nahm	[nah, kam, nahm, am, naß]	{1.0=[nah, kam, nahm, am, naß]}
9878	StauPsauger	Staubsauger	[Staubsauger, Staubsaugers, Staubiger]	{1.5=[Staubsauger], 2.5=[Staubsaugers], 4.0=[Staubiger]}
9879	wong	Wohnung	[wog, Gong, Song, Wog]	{1.0=[wog], 1.5=[Gong, Song, Wog]}
9880	siet	sieht	[riet, siebt, seit, siegt, sieh, sieht, sie]	{1.0=[riet, siebt, seit, siegt, sieh, sieht, sie]}
9881	fersehen	Versehen	[versehen, fernsehen, Fernsehen, Versehen]	{1.0=[versehen, fernsehen], 1.5=[Fernsehen, Versehen]}
9882	StauPsauger	Staubsauger	[Staubsauger, Staubsaugers, Staubiger]	{1.5=[Staubsauger], 2.5=[Staubsaugers], 4.0=[Staubiger]}
9883	fol	voll	[hol, Foul, Hol]	{1.0=[hol], 1.5=[Foul, Hol]}
9884	weckesenn	wechseln	[leckeren, wecken, weckten, wechseln]	{3.0=[leckeren, wecken, weckten, wechseln]}
9885	schprang	sprang	[schwang, sprang, schlang]	{2.0=[schwang, sprang, schlang]}
9886	belte	bellte	[bebte, gelte, beste, belle, bellte, bete]	{1.0=[bebte, gelte, beste, belle, bellte, bete]}
9887	wuste	wusste	[wußte, huste, wusste, puste, wüste]	{1.0=[wußte, huste, wusste, puste, wüste]}
9888	gat	gar	[galt, bat, tat, gut, gab, gar, hat]	{1.0=[galt, bat, tat, gut, gab, gar, hat]}
9889	fersuchte	versuchte	[versuchte, Versuchte, versuchter, versuchten, forschte, versuche, feuchte, versucht, besuchte]	{1.0=[versuchte], 1.5=[Versuchte], 2.0=[versuchter, versuchten, forschte, versuche, feuchte, versucht, besuchte]}
9890	Plazte	platzte	[Platte, Plante, Platze]	{1.0=[Platte, Plante, Platze]}
9891	karm	kam	[warm, kam, karg, kaum, arm]	{1.0=[warm, kam, karg, kaum, arm]}
9892	Staubsauga	Staubsauger	[Staubsauger, Staubsaugers, Staubs]	{2.0=[Staubsauger], 3.0=[Staubsaugers], 4.0=[Staubs]}
9893	sauba	sauber	[sauna, Sauna, sauber, sau, sauge, raub, saust, raubt, taub, sauer, saugt, saure, taube, sause, raube]	{1.0=[sauna], 1.5=[Sauna], 2.0=[sauber, sau, sauge, raub, saust, raubt, taub, sauer, saugt, saure, taube, sause, raube]}
9894	geschaubt	gestaubt	[geschraubt, geschaut, geschnaubt]	{1.0=[geschraubt, geschaut, geschnaubt]}
9895	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
9896	Drickich	dreckig	[Dickicht, Dreckig, Dickichte, Dickichts]	{2.0=[Dickicht], 3.0=[Dreckig, Dickichte, Dickichts]}
9897	mis	mit	[mir, mit, mies, is, bis]	{1.0=[mir, mit, mies, is, bis]}
9898	Stauptsauga	Staubsauger	[Staubsauger, Staubsaugers, Hauptsache]	{4.0=[Staubsauger], 5.0=[Staubsaugers, Hauptsache]}
9899	saupa	sauber	[sauna, Sauna, sauer, saugt, sau, papa, sauge, saure, saust, sause, stups]	{1.0=[sauna], 1.5=[Sauna], 2.0=[sauer, saugt, sau, papa, sauge, saure, saust, sause, stups]}
9900	Küsche	Küche	[Büsche, Küche, wüsche]	{1.0=[Büsche, Küche], 1.5=[wüsche]}
9901	sauba	sauber	[sauna, Sauna, sauber, sau, sauge, raub, saust, raubt, taub, sauer, saugt, saure, taube, sause, raube]	{1.0=[sauna], 1.5=[Sauna], 2.0=[sauber, sau, sauge, raub, saust, raubt, taub, sauer, saugt, saure, taube, sause, raube]}
9902	hate	hatte	[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]	{1.0=[hake, halte, hakte, haute, hatte, wate, habe, haste, harte, rate, hüte, haue, hat, haßte]}
9903	Kegse	Kekse	[Kekse, Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]	{1.0=[Kekse], 2.0=[Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]}
9904	traurich	traurig	[traurig, traurige, Traurige, Traurig]	{2.0=[traurig, traurige], 2.5=[Traurige, Traurig]}
9905	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
9906	kut	kuckt	[tut, gut, kaut]	{1.0=[tut, gut, kaut]}
9907	a	er	[a, A, ab, e, g, ah, i, l, am, m, an, Pa, s, ja, Ja, Da, da, aß]	{0.0=[a], 0.5=[A], 1.0=[ab, e, g, ah, i, l, am, m, an, Pa, s, ja, Ja, Da, da, aß]}
9908	decke	Dreck	[decke, Decke, decken, lecke, denke, deck, deckte, dicke, ducke, deckt, recke]	{0.0=[decke], 0.5=[Decke], 1.0=[decken, lecke, denke, deck, deckte, dicke, ducke, deckt, recke]}
9909	Aba	Aber	[Ab, Aha, AB, ab]	{1.0=[Ab, Aha], 1.5=[AB, ab]}
9910	Staupsauga	Staubsauger	[Staubsauger, Staubsaugers, Stupsnase, Staubs, Standpauke, aufsagt, Stupsnasen, Stupsen, Stups]	{3.0=[Staubsauger], 4.0=[Staubsaugers], 5.0=[Stupsnase, Staubs, Standpauke, aufsagt, Stupsnasen, Stupsen, Stups]}
9911	Abes	Aber	[Aber, aber, Ab, Eben, Abends, Sees, Ans, bei, Übel, Als, Üben, Auges, bis, Mies, Kies, Amtes, Atems, des, Amts, Über, Tees, Astes, Aus, bös, Aktes, Übles, Armes, Atem, Alben, Arms, Alles, Ais, Übels, Arges, es, Ader, Lies, Lobes, Altes, Dies, Des, Abend, Oben, Aufs]	{1.0=[Aber], 1.5=[aber], 2.0=[Ab, Eben, Abends, Sees, Ans, bei, Übel, Als, Üben, Auges, bis, Mies, Kies, Amtes, Atems, des, Amts, Über, Tees, Astes, Aus, bös, Aktes, Übles, Armes, Atem, Alben, Arms, Alles, Ais, Übels, Arges, es, Ader, Lies, Lobes, Altes, Dies, Des, Abend, Oben, Aufs]}
9912	hatt	hat	[halt, hakt, matt, haut, hast, hat, hart, satt, habt, hatte, hätt, haßt]	{1.0=[halt, hakt, matt, haut, hast, hat, hart, satt, habt, hatte, hätt, haßt]}
9913	Kegse	Kekse	[Kekse, Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]	{1.0=[Kekse], 2.0=[Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]}
9914	gesen	gesehen	[lesen, geben, gegen, gehen, gesehn]	{1.0=[lesen, geben, gegen, gehen, gesehn]}
9915	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
9916	gemerckt	gemerkt	[gemerkt, gedeckt, geweckt, geleckt, gereckt, bemerkt]	{1.0=[gemerkt], 2.0=[gedeckt, geweckt, geleckt, gereckt, bemerkt]}
9917	Kegse	Kekse	[Kekse, Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]	{1.0=[Kekse], 2.0=[Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]}
9918	beudel	Beutel	[Beutel, beider, beide, beuge, beluden, befiel, beides, edel, beiden, beugen]	{1.5=[Beutel], 2.0=[beider, beide, beuge, beluden, befiel, beides, edel, beiden, beugen]}
9919	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
9920	hatt	hat	[halt, hakt, matt, haut, hast, hat, hart, satt, habt, hatte, hätt, haßt]	{1.0=[halt, hakt, matt, haut, hast, hat, hart, satt, habt, hatte, hätt, haßt]}
9921	gesackt	gesagt	[gesackt, gehackt, gepackt]	{0.0=[gesackt], 1.0=[gehackt, gepackt]}
9922	wil	will	[wir, wie, will, weil, eil, wild]	{1.0=[wir, wie, will, weil, eil, wild]}
9923	Kegse	Kekse	[Kekse, Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]	{1.0=[Kekse], 2.0=[Küsse, Legte, Kasse, Keks, Kessel, Krise, Krebse, Kreise, Ferse, Lese, Legst, Lege, Rege, Regne, Leise, Weges, Kerle, Keule, Wege, Kurse, Segne, Käse, Meise, esse, Kerze, Wegs, Weise, Keine, Keksen, Kehle, Kette, Kelle, Reise, Kenne, Verse, Kerne]}
9924	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
